object_id;title;orig_country;release_date;for_children;about;characters;category_property;place;tima;theme;classifier
380377;Королева сердец;Дания;2019-01-26;0;['любовные треугольники','человеческие пороки','выбор','брак','отношения мужа и жены','страсть','запретная любовь','расставания','обман','отцы и дети','отношения в паре','отношения отца и сына','психология','отношения','семья','секс','семейные проблемы','ревность','любовники','трудные дети','неравные возрастные отношения','отношения взрослой женщины и молодого мужчины','семейный конфликт','измена'];;['любовные треугольники','человеческие пороки','выбор','брак','отношения мужа и жены','страсть','запретная любовь','расставания','обман','отцы и дети','отношения в паре','отношения отца и сына','психология','отношения','семья','секс','семейные проблемы','ревность','любовники','трудные дети','неравные возрастные отношения','отношения взрослой женщины и молодого мужчины','семейный конфликт','измена'];['дом','пригород','Дания'];21-й век;['остросоциальные','психологический'];Зарубежные фильмы
12917;Виктор Лессар;Канада;2019-01-01;0;['отношения сотрудников','силы правопорядка','серийные убийцы','напарники','загадочные смерти','заговоры','загадки и тайны','психи','расследование','служебный роман','психологические расстройства','прошлое героя','маньяки','убийства и убийцы','пытки и казни','жестокость'];;['отношения сотрудников','силы правопорядка','серийные убийцы','напарники','загадочные смерти','заговоры','загадки и тайны','психи','расследование','служебный роман','психологические расстройства','прошлое героя','маньяки','убийства и убийцы','пытки и казни','жестокость'];['Канада','Канада, Квебек','большой город'];21-й век;психологический;
423591;Аким;Казахстан;2019-11-07;0;['молодежь','неудачники','провинция','переезд','борьба за справедливость','богачи','коррупция','романтические отношения','чиновники','смена жизненных приоритетов','отношения','недоразумение','притяжение противоположностей','любовь','отношения мужчины и женщины','борьба с системой'];;['молодежь','неудачники','провинция','переезд','борьба за справедливость','богачи','коррупция','романтические отношения','чиновники','смена жизненных приоритетов','отношения','недоразумение','притяжение противоположностей','любовь','отношения мужчины и женщины','борьба с системой'];['сельская местность','деревня'];21-й век;развлекательные;
166709;Дамбо;США;2019-03-11;1;['отношения отца и сына','друзья','отношения отца и дочери','изгои','семья','дружба','отношения брата и сестры','поиск себя','цирк','отношения сотрудника и работодателя','животные','перемены к лучшему','отношения между человеком и животным','отношения родителей и детей'];;['отношения отца и сына','друзья','отношения отца и дочери','изгои','семья','дружба','отношения брата и сестры','поиск себя','цирк','отношения сотрудника и работодателя','животные','перемены к лучшему','отношения между человеком и животным','отношения родителей и детей'];США;21-й век;развлекательные;Зарубежные фильмы
412229;Стриптизерши;США;2019-09-07;0;['стриптиз или стриптизеры','журналисты','преступления','подставы','танцы','деньги','риск','женская дружба','женщины','ограбления','месть','сильные женщины','богачи','тусовки','воровство'];;['стриптиз или стриптизеры','журналисты','преступления','подставы','танцы','деньги','риск','женская дружба','женщины','ограбления','месть','сильные женщины','богачи','тусовки','воровство'];['США, Нью-Йорк','США'];21-й век;развлекательные;Зарубежные фильмы
402047;Ибица;Франция;2019-07-02;0;['братья и сестры','семья','поездки','отношения в паре','отношения','романтические отношения','семейные проблемы','молодежь','каникулы','любовь','отношения мужчины и женщины','семейный конфликт','отцы и дети','отношения родителей и детей','отношения матери и дочери','путешествия','брак','отношения матери и сына','тусовки','старики','подростки'];;['братья и сестры','семья','поездки','отношения в паре','отношения','романтические отношения','семейные проблемы','молодежь','каникулы','любовь','отношения мужчины и женщины','семейный конфликт','отцы и дети','отношения родителей и детей','отношения матери и дочери','путешествия','брак','отношения матери и сына','тусовки','старики','подростки'];['Испания, Ибица','остров','Испания'];['новейшее время','21-й век','лето'];развлекательные;Зарубежные фильмы
12922;Лучшие в Лос-Анджелесе;США;2019-01-01;0;['дружба','отношения отца и дочери','храбрость','борьба за справедливость','риск','отношения сотрудников','преступления','отношения мужчины и женщины','семейный конфликт','месть','сильные женщины','женщина-детектив','женщины','семейные проблемы','отношения','перестрелки','преследования','друзья','женская дружба','прошлое героя','расследование','силы правопорядка','отношения мужа и жены','напарники','драки','миссия/цель/задание'];;['дружба','отношения отца и дочери','храбрость','борьба за справедливость','риск','отношения сотрудников','преступления','отношения мужчины и женщины','семейный конфликт','месть','сильные женщины','женщина-детектив','женщины','семейные проблемы','отношения','перестрелки','преследования','друзья','женская дружба','прошлое героя','расследование','силы правопорядка','отношения мужа и жены','напарники','драки','миссия/цель/задание'];['США','большой город','США, Лос-Анджелес'];21-й век;['полицейский','развлекательные'];other
414329;Комната желаний;Франция;2019-04-15;0;['загадки и тайны','роковая ошибка','отношения матери и сына','переезд','смерть','отношения родителей и детей','романтические отношения','отношения отца и сына','дети','отношения мужа и жены','отношения в паре','отношения','особняки или замки','конфликты в отношениях','отношения мужчины и женщины','любовь','магия и волшебство','исполнение желаний','сверхъестественное'];;['загадки и тайны','роковая ошибка','отношения матери и сына','переезд','смерть','отношения родителей и детей','романтические отношения','отношения отца и сына','дети','отношения мужа и жены','отношения в паре','отношения','особняки или замки','конфликты в отношениях','отношения мужчины и женщины','любовь','магия и волшебство','исполнение желаний','сверхъестественное'];['пригород','США'];['21-й век','новейшее время'];психологический;Зарубежные фильмы
206103;Подлинная история банды Келли;Великобритания;2019-09-11;0;['переодевание','психологические травмы','братья и сестры','отношения','силы правопорядка','отношения мужчины и женщины','борьба с системой','перестрелки','отношения матери и сына','бандиты и гангстеры','гомосексуалисты и гомосексуальность','потеря близких','убийства и убийцы','семья','месть','ограбления','преступления','отцы и дети','преследования','любовь','антигерои'];;['переодевание','психологические травмы','братья и сестры','отношения','силы правопорядка','отношения мужчины и женщины','борьба с системой','перестрелки','отношения матери и сына','бандиты и гангстеры','гомосексуалисты и гомосексуальность','потеря близких','убийства и убийцы','семья','месть','ограбления','преступления','отцы и дети','преследования','любовь','антигерои'];Австралия;19-й век;психологический;Зарубежные фильмы
11976;Война миров (2019);Великобритания;2019-11-17;0;['храбрость','отношения мужчины и женщины','вторжение инопланетян','развод','инопланетяне','борьба за выживание','любовь','угроза всему миру','дружба','семейный конфликт','сильные женщины','друзья','отношения между братьями','конец света','бывшие','взрывы','отношения в паре','борьба со злом','оружие'];;['храбрость','отношения мужчины и женщины','вторжение инопланетян','развод','инопланетяне','борьба за выживание','любовь','угроза всему миру','дружба','семейный конфликт','сильные женщины','друзья','отношения между братьями','конец света','бывшие','взрывы','отношения в паре','борьба со злом','оружие'];['Великобритания, Лондон','Великобритания'];20-й век;развлекательные;other
297961;Идеальный пациент;Швеция;2019-01-01;0;['серийные убийцы','журналисты','борьба за справедливость','борьба с системой','психологические расстройства','убийства и убийцы','адвокаты и обвинители','обман','разоблачение','силы правопорядка','расследование','тайна смерти','убийцы'];;['серийные убийцы','журналисты','борьба за справедливость','борьба с системой','психологические расстройства','убийства и убийцы','адвокаты и обвинители','обман','разоблачение','силы правопорядка','расследование','тайна смерти','убийцы'];Швеция;21-й век;['судебный','развлекательные','остросоциальные'];Зарубежные фильмы
423037;Дверь в лесу;США;2019-01-24;0;['привидения','загадки и тайны','отношения мужа и жены','семья','отношения в паре','отношения матери и сына','жертвы','переезд','исчезновения','отцы и дети','отношения родителей и детей','отношения отца и сына','жестокость','страхи','роковая ошибка','спасение','проклятия','отношения мужчины и женщины','сверхъестественное','отношения'];;['привидения','загадки и тайны','отношения мужа и жены','семья','отношения в паре','отношения матери и сына','жертвы','переезд','исчезновения','отцы и дети','отношения родителей и детей','отношения отца и сына','жестокость','страхи','роковая ошибка','спасение','проклятия','отношения мужчины и женщины','сверхъестественное','отношения'];['маленький городок','США','провинция'];['21-й век','новейшее время'];развлекательные;
215176;Ford против Ferrari;США;2019-08-30;0;['отношения сотрудника и работодателя','лучшие друзья','риск','бизнес','победа','несчастный случай','машины','миссия/цель/задание','аварии','отношения мужа и жены','соперничество','мужская дружба','друзья','отношения отца и сына','дружба','гонки'];;['отношения сотрудника и работодателя','лучшие друзья','риск','бизнес','победа','несчастный случай','машины','миссия/цель/задание','аварии','отношения мужа и жены','соперничество','мужская дружба','друзья','отношения отца и сына','дружба','гонки'];['Франция','США'];20-й век;развлекательные;Зарубежные фильмы
210211;Доктор Сон;Великобритания;2019-10-30;0;['друзья','убийства и убийцы','сверхъестественное','видения','смена жизненных приоритетов','медиумы или экстрасенсы','злоупотребление алкоголем','дружба','борьба со злом','психологические травмы','пророчество','охота на людей','смерть','привидения','сверхспособности','страхи','дети'];;['друзья','убийства и убийцы','сверхъестественное','видения','смена жизненных приоритетов','медиумы или экстрасенсы','злоупотребление алкоголем','дружба','борьба со злом','психологические травмы','пророчество','охота на людей','смерть','привидения','сверхспособности','страхи','дети'];США;21-й век;['психологический','развлекательные'];Зарубежные фильмы
415836;Код 8;Канада;2019-10-03;0;['семья','силы правопорядка','борьба с системой','погони','борьба за выживание','антиутопия','жульничество и аферы','преодоление трудностей','дискриминация','жертвы','преступление и наказание','преследования','сверхспособности','финансовые проблемы','бедняки','будущее','преступления','миссия/цель/задание'];;['семья','силы правопорядка','борьба с системой','погони','борьба за выживание','антиутопия','жульничество и аферы','преодоление трудностей','дискриминация','жертвы','преступление и наказание','преследования','сверхспособности','финансовые проблемы','бедняки','будущее','преступления','миссия/цель/задание'];США;будущее;['развлекательные','научно-популярный'];
393521;Сельма в городе призраков;Мексика;2019-03-08;1;['волшебные существа','дружба','подростки','друзья','расследование','отношения брата и сестры','отношения родителей и детей','прошлое героя','семья','путешествия во времени','мифы и легенды','загадки и тайны','усыновление','путешествия','отцы и дети','смерть','братья и сестры'];;['волшебные существа','дружба','подростки','друзья','расследование','отношения брата и сестры','отношения родителей и детей','прошлое героя','семья','путешествия во времени','мифы и легенды','загадки и тайны','усыновление','путешествия','отцы и дети','смерть','братья и сестры'];['загробный мир','маленький городок','Мексика'];['21-й век','новейшее время'];развлекательные;Анимация
111847;Холодное сердце 2;США;2019-11-07;1;['добрые дела','дружба','братья и сестры','любовь','примирение противников','магия и волшебство','загадки и тайны','отношения сестер','борьба со злом','преодоление трудностей','храбрость','семья','сильные женщины','борьба за справедливость','прошлое героя','отношения между человеком и животным','принцессы','друзья','путешествия','отношения мужчины и женщины','поиск себя','спасение','заговоры','взросление','тайна смерти'];;['добрые дела','дружба','братья и сестры','любовь','примирение противников','магия и волшебство','загадки и тайны','отношения сестер','борьба со злом','преодоление трудностей','храбрость','семья','сильные женщины','борьба за справедливость','прошлое героя','отношения между человеком и животным','принцессы','друзья','путешествия','отношения мужчины и женщины','поиск себя','спасение','заговоры','взросление','тайна смерти'];вымышленная страна (город);не определено;развлекательные;Анимация
